Language_ID,Glottocode,Notes
starostinaltaic_literarymanchu,manc1252,manual:Literary Manchu = Manchu (written register)
starostinaltaic_ulcha,ulch1241,manual:Ulcha = Ulch
starostinaltaic_modernkorean,kore1280,manual:Modern Korean = Korean
starostinaltaic_chensando,chun1247,manual:Chensando = Ch'ungch'ongdo (Chungcheong dialect)
starostinaltaic_phyenyangnamdo,pyon1239,manual:Phyenyang namdo = P'yong'ando (Pyongan dialect)
starostinaltaic_kyensando,kyon1247,manual:Kyensando = Kyongsangdo (Gyeongsang dialect)
starostinaltaic_hamgyengdo,hamg1238,manual:Hamgyengdo = Hamgyongdo
starostinaltaic_chejudo,jeju1234,manual:Chejudo = Jejueo
starostinaltaic_seoul,seou1239,manual:Seoul (Korean dialect)
starostinaltaic_kanwendo,kore1280,manual:Kanwendo = Korean (no Kangwon dialect entry in Glottolog)
starostinaltaic_middlekorean,midd1372,manual:Middle Korean
starostinaltaic_tokyo,toky1238,manual:Tokyo = Tokyoo (Japanese dialect)
starostinaltaic_kameyama,nucl1643,manual:Kameyama = Japanese (no specific dialect entry)
starostinaltaic_kyoto,kyot1238,manual:Kyoto (Japanese dialect)
starostinaltaic_kagushima,sats1241,manual:Kagushima = Kagoshima (Satsuma dialect)
starostinaltaic_nase,naze1238,manual:Nase = Naze (Northern Amami-Oshima dialect)
starostinaltaic_shuri,shur1243,manual:Shuri (Central Okinawan dialect)
starostinaltaic_hateruma,hate1238,manual:Hateruma (Yaeyama dialect)
starostinaltaic_yonakuni,yona1241,manual:Yonakuni = Yonaguni
wikt_ar,stan1318,manual:Arabic macrolanguage -> Standard Arabic
wikt_az,nort2697,manual:Azerbaijani macrolanguage -> North Azerbaijani
wikt_ms,stan1306,manual:Malay macrolanguage -> Standard Malay
wikt_sq,tosk1239,manual:Albanian macrolanguage -> Tosk Albanian
wikt_mn,halh1238,manual:Mongolian macrolanguage -> Halh Mongolian
wikt_uz,nort2690,manual:Uzbek macrolanguage -> Northern Uzbek
wikt_yi,east2295,manual:Yiddish macrolanguage -> Eastern Yiddish
wikt_ps,cent1973,manual:Pashto macrolanguage -> Central Pashto
wikt_zh,mand1415,manual:Chinese macrolanguage -> Mandarin Chinese
wikt_sc,camp1261,manual:Sardinian macrolanguage -> Campidanese Sardinian
wikt_zza,diml1238,manual:Zazaki macrolanguage -> Dimli
wikt_qu,clas1251,manual:Quechua macrolanguage -> Classical Quechua
wikt_za,yong1276,manual:Zhuang macrolanguage -> Yongbei Zhuang
wikt_oj,ojib1241,manual:Ojibwe macrolanguage -> Ojibwa
wikt_mg,plat1254,manual:Malagasy macrolanguage -> Plateau Malagasy
wikt_om,west2721,manual:Oromo macrolanguage -> West Central Oromo
wikt_nah,clas1250,manual:Nahuatl macrolanguage -> Classical Nahuatl
wikt_bua,russ1264,manual:Buryat macrolanguage -> Russia Buriat
wikt_rom,vlax1238,manual:Romani macrolanguage -> Vlax Romani
wikt_iu,east2534,manual:Inuktitut macrolanguage -> Eastern Canadian Inuktitut
wikt_luy,luhy1236,manual:Luhya macrolanguage -> Luyia
wikt_ay,cent2142,manual:Aymara macrolanguage -> Central Aymara
wikt_cr,wood1236,manual:Cree macrolanguage -> Woods Cree
wikt_ff,nige1253,manual:Fula macrolanguage -> Nigerian Fulfulde
wikt_kok,konk1267,manual:Konkani macrolanguage -> Konkani
wikt_bal,east2304,manual:Baluchi macrolanguage -> Eastern Balochi
wikt_din,sout2832,manual:Dinka macrolanguage -> Southwestern Dinka
wikt_ik,nort2621,manual:Inupiaq macrolanguage -> North Alaskan Inupiaq
wikt_kg,sout2958,manual:Kongo macrolanguage -> South Kongo
wikt_kln,nand1266,manual:Kalenjin macrolanguage -> Nandi
wikt_mwr,marw1260,manual:Marwari macrolanguage -> Marwari (India)
wikt_hai,nort2938,manual:Haida macrolanguage -> Northern Haida
wikt_gon,nort2702,manual:Gondi macrolanguage -> Northern Gondi
wikt_chm,mead1245,manual:Mari macrolanguage -> Meadow Mari
wikt_tmh,tama1365,manual:Tuareg macrolanguage -> Tamahaq
wikt_smi,nort2671,manual:Sami macrolanguage -> Northern Sami
wikt_kr,cent2050,manual:Kanuri macrolanguage -> Central Kanuri
wikt_kv,komi1268,manual:Komi macrolanguage -> Komi-Zyrian
wikt_jrb,jude1266,manual:Judeo-Arabic macrolanguage -> Judeo-Iraqi Arabic
wikt_man,mand1444,manual:Mandingo macrolanguage -> Mandinka
wikt_kpe,guin1237,manual:Kpelle macrolanguage -> Guinea Kpelle
wikt_pra,pali1273,manual:Prakrit macrolanguage -> Pali
wikt_zap,colo1256,manual:Zapotec -> Colonial Valley Zapotec
wikt_lah,west2386,manual:Lahnda macrolanguage -> Western Panjabi
wikt_mno,coti1240,manual:Manobo macrolanguage -> Cotabato Manobo
wikt_ngo,ngon1269,manual:Ngoni macrolanguage -> Ngoni
wikt_hmn,hmon1264,manual:Hmong macrolanguage -> Hmong Daw
wikt_fa-ira,west2369,manual:Iranian Persian -> Western Farsi
wikt_nan-hbl,minn1241,manual:Hokkien -> Min Nan Chinese
wikt_nds-de,nort2627,manual:Low German -> Eastern Low German
wikt_nds-nl,nort2627,manual:Dutch Low Saxon -> Eastern Low German
wikt_zh-hans,mand1415,manual:Simplified Chinese -> Mandarin Chinese
wikt_zhx-tai,tais1237,manual:Taishanese
wikt_zlw-slv,slov1270,manual:Slovincian
wikt_zlw-osk,slov1249,manual:Old Slovak -> Slovak
wikt_zls-chs,chur1257,manual:Church Slavonic -> Church Slavic
wikt_zle-ort,rute1240,manual:Old Ruthenian -> Ruthenian
wikt_zle-ono,oldr1238,manual:Old Novgorodian -> Old Russian
wikt_zkh,khor1277,manual:Khorezmian
wikt_xmk,anci1244,manual:Ancient Macedonian
wikt_sem-amm,ammo1237,manual:Ammonite
wikt_xqa,kara1462,manual:Karakhanid
wikt_axm,midd1361,manual:Middle Armenian
wikt_cmg,clas1254,manual:Classical Mongolian
